Data;Criptomoeda GT;Bitcoin GT;Ethereum GT
2010-01-01;0,5;0,5;0
2010-02-01;0,5;0,5;0
2010-03-01;0,5;0,5;0
2010-04-01;0,5;0,5;0
2010-05-01;0,5;0,5;0
2010-06-01;0,5;0,5;0
2010-07-01;0,5;0,5;0
2010-08-01;0,5;0,5;0
2010-09-01;0,5;0,5;0
2010-10-01;0,5;0,5;0
2010-11-01;0,5;0,5;0
2010-12-01;0,5;0,5;0
2011-01-01;0,5;0,5;0
2011-02-01;0,5;0,5;0
2011-03-01;0,5;0,5;0
2011-04-01;0,5;0,5;0
2011-05-01;0,5;1;0
2011-06-01;0,5;3;0
2011-07-01;0,5;1;0
2011-08-01;0,5;1;0
2011-09-01;0,5;1;0
2011-10-01;0,5;1;0
2011-11-01;0,5;1;0
2011-12-01;0,5;1;0
2012-01-01;0,5;1;0
2012-02-01;0,5;1;0
2012-03-01;0,5;1;0
2012-04-01;0,5;1;0
2012-05-01;0,5;1;0
2012-06-01;0,5;1;0
2012-07-01;0,5;1;0
2012-08-01;0,5;1;0
2012-09-01;0,5;1;0
2012-10-01;0,5;1;0
2012-11-01;0,5;1;0
2012-12-01;0,5;1;0
2013-01-01;0,5;1;0
2013-02-01;0,5;1;0
2013-03-01;0,5;3;0
2013-04-01;0,5;8;0
2013-05-01;0,5;3;0
2013-06-01;0,5;2;0
2013-07-01;0,5;2;0
2013-08-01;0,5;3;0
2013-09-01;0,5;2;0
2013-10-01;0,5;4;0
2013-11-01;0,5;11;0
2013-12-01;0,5;13;0
2014-01-01;0,5;8;0
2014-02-01;0,5;9;0
2014-03-01;0,5;7;0
2014-04-01;0,5;4;0
2014-05-01;0,5;3;0
2014-06-01;0,5;3;0
2014-07-01;0,5;3;0
2014-08-01;0,5;3;0
2014-09-01;0,5;3;0
2014-10-01;0,5;3;0
2014-11-01;0,5;3;0
2014-12-01;0,5;3;0
2015-01-01;0,5;4;0
2015-02-01;0,5;3;0
2015-03-01;0,5;3;0
2015-04-01;0,5;3;0
2015-05-01;0,5;3;0
2015-06-01;0,5;3;0
2015-07-01;0,5;3;0
2015-08-01;0,5;3;0
2015-09-01;0,5;3;0
2015-10-01;0,5;3;0
2015-11-01;0,5;4;0
2015-12-01;0,5;4;0
2016-01-01;0,5;4;0,5
2016-02-01;0,5;4;0,5
2016-03-01;0,5;3;1
2016-04-01;0,5;3;0,5
2016-05-01;0,5;4;1
2016-06-01;0,5;5;1
2016-07-01;0,5;4;1
2016-08-01;0,5;4;0,5
2016-09-01;0,5;4;0,5
2016-10-01;0,5;4;0,5
2016-11-01;0,5;5;0,5
2016-12-01;0,5;5;0,5
2017-01-01;1;7;0,5
2017-02-01;1;6;0,5
2017-03-01;1;8;1
2017-04-01;1;7;1
2017-05-01;2;16;3
2017-06-01;3;17;7
2017-07-01;3;14;4
2017-08-01;3;21;4
2017-09-01;4;23;3
2017-10-01;4;23;3
2017-11-01;6;45;5
2017-12-01;16;100;10
2018-01-01;20;58;10
2018-02-01;10;42;5
2018-03-01;6;24;3
2018-04-01;5;19;3
2018-05-01;5;15;3
2018-06-01;4;14;2
2018-07-01;4;14;2
2018-08-01;4;14;2
2018-09-01;4;13;2
2018-10-01;3;11;1
2018-11-01;3;14;1
2018-12-01;3;14;1
2019-01-01;3;11;1
2019-02-01;3;10;1
2019-03-01;2;9;1
2019-04-01;3;13;1
2019-05-01;3;19;2
2019-06-01;4;22;2
2019-07-01;3;21;2
2019-08-01;2;25;1
2019-09-01;2;75;1
2019-10-01;2;14;1
2019-11-01;2;13;1
2019-12-01;2;12;1
2020-01-01;2;14;1
2020-02-01;3;15;2
2020-03-01;3;21;2
2020-04-01;3;18;2
2020-05-01;3;22;2
2020-06-01;3;15;2
2020-07-01;3;16;2
2020-08-01;4;18;3
2020-09-01;4;14;2
2020-10-01;3;15;2
2020-11-01;4;26;3
2020-12-01;5;35;4
2021-01-01;11;66;12
2021-02-01;18;73;14
2021-03-01;14;53;9
2021-04-01;27;56;12
2021-05-01;36;71;22
2021-06-01;20;53;13
